Student_ID,Age,Gender,Degree,Branch,Semester,CGPA,Python,SQL,Java,C++,JavaScript,HTML_CSS,Data_Structures,OOP,Statistics,Mathematics,Machine_Learning,Deep_Learning,Data_Visualization,Pandas,NumPy,Power_BI,Communication,Leadership,Problem_Solving,Critical_Thinking,Creativity,Teamwork,Presentation,Time_Management,AI_Interest,Programming_Interest,Research_Interest,Business_Interest,Cloud_Interest,Cybersecurity_Interest,Finance_Interest,Design_Interest,Analytical_Thinking,Logical_Reasoning,Attention_to_Detail,Decision_Making,Confidence,Adaptability,Curiosity,Projects,Internships,Hackathons,Certifications,GitHub_Activity,Open_Source,Career
15411,23,Male,MCA,Information Technology,1,6.55,5,5,3,4,2,1,4,4,5,5,5,5,4,5,5,4,3,3,5,5,5,5,3,5,5,5,4,3,5,2,1,2,5,5,5,5,4,4,5,6,3,2,6,4,4,Machine Learning Engineer
60962,21,Male,B.Tech,Artificial Intelligence,6,7.43,5,3,5,3,2,3,4,5,5,5,5,5,4,5,5,4,5,3,5,5,4,5,4,3,5,5,5,2,4,2,1,3,5,5,5,5,5,5,5,6,3,4,5,5,3,AI Engineer
54925,22,Female,MCA,Information Technology,4,6.99,5,5,1,2,2,2,2,2,5,4,4,2,5,5,4,5,4,3,4,5,3,5,4,5,2,5,4,5,3,2,4,4,5,5,5,5,3,4,5,3,3,2,3,2,1,Data Analyst
82777,23,Male,M.Tech,Information Technology,7,9.02,5,4,3,3,2,3,5,4,4,5,5,5,3,5,5,3,4,3,5,5,5,4,4,3,5,5,5,2,3,3,1,3,5,5,4,5,4,5,5,7,2,3,5,4,3,AI Engineer
13412,26,Female,M.Tech,Information Technology,3,8.31,5,4,4,3,4,4,4,4,2,3,2,1,3,2,2,1,4,5,5,5,3,5,4,4,2,5,3,4,5,4,3,1,5,5,4,4,4,5,5,7,2,5,5,4,4,Cloud Engineer
82633,24,Male,B.Tech,Artificial Intelligence,5,7.88,5,5,4,4,2,2,4,5,5,5,5,5,3,5,5,2,4,4,5,5,5,3,4,5,5,5,5,2,4,3,1,3,5,5,4,4,4,4,5,6,2,4,5,4,3,AI Engineer
26120,18,Male,MCA,Information Technology,6,8.67,5,3,4,2,2,2,4,3,4,5,5,4,5,5,4,4,5,2,4,4,3,4,3,4,5,4,4,3,3,2,2,1,5,4,4,4,4,4,5,6,3,1,4,4,0,Data Scientist
57872,27,Male,B.Sc,Data Science,4,8.8,5,3,4,3,1,2,3,4,5,4,4,5,5,5,5,5,5,2,4,4,4,3,4,3,5,4,4,2,2,2,1,1,5,5,5,4,5,4,5,4,1,3,4,3,1,Data Scientist
59279,23,Male,BCA,Artificial Intelligence,1,6.77,5,5,3,3,2,2,3,4,4,5,5,4,5,4,5,5,4,2,4,5,4,4,4,4,5,4,4,3,3,2,2,1,5,5,4,5,4,4,5,7,1,3,6,5,1,Data Scientist
70173,19,Female,MCA,Artificial Intelligence,4,6.83,3,4,2,3,4,2,4,4,2,3,2,2,3,2,4,2,4,4,5,5,4,5,5,5,3,4,5,3,5,5,2,1,5,5,5,4,5,5,5,4,2,4,3,4,3,Cybersecurity Analyst
78546,18,Male,BCA,Artificial Intelligence,7,6.56,5,3,3,4,4,4,5,4,3,4,3,2,2,3,4,2,4,3,5,5,4,5,3,5,2,5,3,2,5,4,3,2,5,5,4,5,5,5,4,6,1,5,3,4,5,Cloud Engineer
82896,23,Female,B.Tech,Information Technology,5,6.73,4,5,2,2,2,2,5,3,4,3,2,1,3,3,2,3,5,5,5,5,4,5,4,5,2,5,3,4,5,4,2,1,5,5,5,4,5,5,5,6,3,2,3,3,1,Database Administrator
