Feature,Importance
Cloud_Interest,0.06899644550615941
Design_Interest,0.060966883210771344
JavaScript,0.05889220188239263
Cybersecurity_Interest,0.054349639859981064
HTML_CSS,0.053421010636595434
Deep_Learning,0.05050670780301117
SQL,0.04729946069574206
AI_Interest,0.04562469042279847
Power_BI,0.04315039814428655
Machine_Learning,0.04263013903366429
C++,0.040640710324536804
NumPy,0.03275051397800986
Pandas,0.030995803573547927
Statistics,0.02927466258166163
Finance_Interest,0.02892563478991153
Data_Visualization,0.027249436394367155
Business_Interest,0.024128591680827604
Java,0.021249091711011702
Attention_to_Detail,0.01976458142461402
Teamwork,0.019603005684672853
OOP,0.017633262789183455
Programming_Interest,0.016941313840850115
GitHub_Activity,0.014899478133655185
Leadership,0.01470374479351898
Presentation,0.013192394309208565
Adaptability,0.012361799706389306
Data_Structures,0.01035423369803859
Python,0.00997610831347253
Problem_Solving,0.008166653953320772
Logical_Reasoning,0.007879150702389615
Curiosity,0.007385097185461592
Mathematics,0.007254477671310227
Open_Source,0.006834926542925136
Research_Interest,0.00642797523030198
Creativity,0.005353236515139911
Decision_Making,0.005070717421995087
Communication,0.004909002237985419
Time_Management,0.004607727005825948
Analytical_Thinking,0.004547880085402553
Critical_Thinking,0.004189693831621135
Hackathons,0.0038639671032439458
Internships,0.003306389108144363
Confidence,0.0030459353329881965
Projects,0.0024846905193941808
Certifications,0.0014210563875451522
CGPA,0.000902396799125882
Age,0.0005627866217201516
Semester,0.0004663135627525833
Branch,0.0003574881382964599
Degree,0.0003435035729378512
Gender,0.00013698954729154857
